# firn-gc-phasen v1
# spalten: runde	phase	rss_kib	heap_bytes	lebende	sammellaeufe
280	2	14144	14417920	5244	32
281	2	14144	14417920	5244	32
282	2	14144	14417920	5244	32
283	2	14144	14417920	5244	32
284	2	14144	14417920	5244	32
285	2	14144	14417920	5244	32
286	2	14144	14417920	5244	32
287	2	14144	14417920	5244	32
288	2	8512	8650752	5244	32
289	2	2880	2883584	5244	33
290	2	2880	2883584	5244	33
291	2	2880	2883584	5244	33
292	2	2880	2883584	5244	33
293	2	2880	2883584	5244	33
294	2	2880	2883584	5244	33
295	2	2880	2883584	5244	33
296	2	2880	2883584	5244	33
297	2	2880	2883584	5244	33
298	2	2880	2883584	5244	33
299	2	2880	2883584	5244	33
# rss_phase_a_max_kib=14400
# rss_phase_b_max_kib=17216
# rss_ende_kib=2368
2688
# fertig
